ingresos,gastos_comunes,pago_clases,gastos_otros,ahorros,instrumento,estado_civil,hijos,tipo_instrumento,credito
6771,1354,38,789,64860,271947,1,1,5,1
6813,1090,312,208,54305,635848,0,0,2,0
6152,984,343,793,42935,403197,1,4,8,1
6906,898,319,656,59305,365986,2,4,5,1
7595,1367,292,406,38286,608743,2,0,3,0
6355,953,135,740,38235,343128,0,0,1,1
5862,762,249,334,40529,443477,0,0,4,0
5468,1094,337,221,61055,303294,0,0,4,1
7011,1262,11,393,40803,555296,2,4,7,1
6744,1079,200,576,40679,446206,1,1,8,1
6806,1361,320,437,40751,283936,2,3,6,1
6194,991,339,624,55269,519377,2,3,5,0
5656,905,259,543,57625,657229,1,1,6,0
5730,860,338,295,53734,601935,1,2,6,0
5717,1143,141,214,55043,359875,1,4,7,1
7138,1356,27,209,64027,427780,1,2,5,1
6762,1285,338,215,61728,636597,2,0,3,0
5813,756,108,500,58055,328265,2,1,5,1
5415,1083,84,754,68327,345689,1,2,5,1
5572,1114,87,727,56337,559220,2,3,5,0
6412,769,137,510,47203,311855,1,3,5,1
6503,1301,295,716,55798,279795,1,4,6,1
5558,889,168,679,61867,449413,1,2,5,1
7063,918,293,364,63395,278315,1,2,8,1
6222,809,270,810,41483,455865,0,0,4,0
6325,1139,102,754,68527,588004,0,0,0,0
6264,1065,197,644,55703,431159,1,0,0,0
5593,839,121,416,44487,539242,1,0,0,0
5514,772,147,672,67815,397838,0,0,0,0
6347,1016,13,268,41468,552796,0,0,1,0
6058,969,289,531,50014,455751,1,2,7,1
7877,1339,332,617,56941,300240,1,2,7,1
5848,819,168,652,69366,559906,2,2,5,0
7758,1086,70,230,51489,445679,0,0,3,1
6384,958,346,549,40804,333566,1,4,7,1
7777,1089,213,564,43472,303736,1,0,4,1
4426,1328,152,480,11593,245454,2,1,7,1
4532,816,224,383,13921,245131,0,0,2,1
2448,636,158,638,32723,362523,0,0,4,0
4517,1310,89,529,25960,227634,2,2,6,1
4505,1171,343,627,37943,266595,0,0,4,0
3080,585,285,521,16260,377254,0,0,4,0
3543,992,91,372,30918,327691,1,4,6,0
2039,387,258,362,25537,210701,0,0,4,0
3437,687,201,735,21260,339501,2,2,5,0
6500,1100,0,700,55000,380000,2,1,5,1
6332,1266,32,252,55641,665167,1,0,3,0
7289,1458,209,243,41233,488643,2,1,5,1
5552,999,338,564,52012,385908,2,2,8,1
7420,1336,243,660,39328,655720,2,0,4,0
6205,1179,240,729,56904,661009,0,0,2,0
6771,1354,38,789,64860,271947,1,1,5,1
6813,1090,312,208,5305,635848,0,0,2,0
6152,984,343,793,42935,403197,1,4,8,1
6906,898,319,656,59305,365986,2,4,5,1
7595,1367,292,406,38286,608743,2,0,3,0
6355,953,135,740,38235,343128,0,0,1,1
5862,762,249,334,40529,443477,0,0,4,0
5468,1094,337,221,61055,303294,0,0,4,1
4885,928,8,670,16671,181736,0,0,0,0
4403,1497,18,384,37034,391533,0,0,1,0
7777,1089,213,564,43472,303736,1,0,4,1
7505,1501,302,364,38328,487697,2,1,8,1
5791,811,208,417,40166,643683,1,0,4,0
5646,1016,215,747,69276,655399,0,0,1,0
6495,909,341,788,62320,625528,2,4,6,0
5264,1053,17,691,57408,364105,1,3,8,1
7033,1196,294,216,61329,667865,2,0,2,0
5502,715,299,705,48264,561852,0,0,4,0
6935,971,99,425,65541,662258,0,0,1,0
3586,932,81,382,35361,242562,0,0,3,0
4883,1025,25,444,27294,244767,2,1,5,1
4885,928,8,670,16671,181736,0,0,0,0
4403,1497,18,384,37034,391533,0,0,1,0
3026,787,21,397,30449,365493,0,0,4,0
4714,1414,403,557,37411,358242,2,0,1,0
2974,744,346,746,15982,360791,1,4,6,0
2550,510,73,434,15890,201278,2,3,5,0
3504,1051,447,351,29890,313542,0,0,0,0
2024,486,398,494,14569,234991,2,3,7,0
3084,678,432,448,17211,378697,1,3,5,0
6529,304,355,413,11964,31070,2,1,16,0
4700,459,371,352,8812,39112,6,5,17,0
4073,113,453,278,8340,35373,4,0,24,0
4548,181,357,415,11632,41656,8,2,23,1
4849,255,456,168,10207,39792,1,3,22,1
6077,440,455,340,8707,34288,5,0,27,0
4183,382,436,153,10594,34010,8,2,29,0
5866,358,406,192,9960,37134,7,5,8,0
5771,109,339,380,11271,42840,2,0,27,0
5974,325,100,184,9583,46180,7,2,28,0
4225,447,190,112,10386,36615,7,3,28,1
6825,309,486,227,8214,33393,0,3,29,1
6846,424,365,241,9228,40388,2,1,18,0
4176,106,239,480,8870,43018,3,5,30,0
5271,111,120,471,10466,32281,7,1,22,0
4297,446,110,145,9594,41419,4,2,23,1
5855,101,220,395,9474,43343,2,4,3,1
5782,258,203,176,9909,37392,2,1,5,1
5103,483,258,159,8488,36650,6,1,17,1
5558,131,317,422,9360,37352,3,3,7,0
5256,204,177,486,9145,40271,0,5,9,0
5443,485,125,198,10568,31252,5,0,14,0
6460,315,113,421,8997,46664,4,2,29,0
6060,379,304,277,9905,41076,2,0,9,1
6649,129,374,180,11587,37601,3,2,14,1
5494,309,242,188,8505,46685,7,3,22,0
4374,389,291,350,10156,44668,5,5,29,1
4389,211,263,304,8607,39707,1,3,19,1
5794,141,204,493,11065,41966,0,0,17,1
4891,155,350,197,9460,42940,8,0,23,0
6288,219,258,235,11490,36950,6,1,4,1
6672,397,324,161,10804,35984,0,4,17,0
6642,370,199,407,8764,33151,1,2,3,0
6925,435,114,373,10313,37998,7,2,27,1
6801,102,230,399,8510,36485,7,2,21,0
4736,157,338,189,8292,46908,6,5,2,1
5571,268,483,199,9446,37503,0,4,9,0
6189,436,488,496,11137,37396,3,2,20,1
5633,138,283,361,11724,33368,7,3,29,1
4088,203,469,354,8259,46828,7,1,27,1
6419,280,207,385,9327,45595,7,4,25,0
6952,120,197,266,11657,42439,6,3,6,1
6607,165,421,391,8713,46923,8,2,3,1
6167,260,447,337,10781,38558,5,0,24,0
6223,366,236,222,9042,40275,0,0,11,0
5167,120,357,365,8115,42977,1,2,30,0
4139,406,414,416,10579,43394,8,2,25,1
4961,220,225,455,11252,35271,1,3,19,0
4595,227,144,150,10545,31409,8,0,14,1
4742,299,250,289,11892,41468,7,4,19,1
4633,309,317,313,11451,43510,5,0,17,0
4912,390,256,416,8055,45061,8,1,14,1
6968,206,317,418,9883,43522,0,4,25,0
4144,131,498,141,11039,34784,8,4,7,0
6290,226,105,392,11414,43133,2,3,7,0
4963,419,442,217,9262,35467,6,0,29,1
5645,226,410,383,10091,46027,0,3,6,0
5177,153,328,304,10382,31145,0,1,6,0
5062,194,223,135,11437,40979,6,0,26,1
6688,122,331,408,9157,38498,1,1,19,1
6112,226,309,375,8565,35223,0,0,23,0
6898,494,381,329,10702,36952,5,4,5,0
6393,471,393,191,10789,40019,7,1,27,0
5288,296,165,297,9682,44298,1,4,28,1
4700,278,410,260,10979,43013,0,2,26,0
5669,150,434,207,10917,37939,4,5,2,0
5304,317,379,412,9555,33959,5,3,12,0
4797,444,336,404,9570,37611,3,4,26,0
5941,254,373,279,8248,34462,8,4,23,1
6266,410,186,352,10674,39080,8,0,21,0
4265,165,264,288,10600,45555,0,4,13,0
6380,123,194,344,9786,43032,8,2,27,1
5764,132,225,486,11826,46161,5,3,26,0
4289,447,425,362,10621,45438,0,2,14,0
4481,191,144,129,9764,34810,0,0,21,0
5629,133,429,386,8563,44015,6,3,18,1
5811,293,234,160,8839,31419,0,1,1,0
4356,409,368,334,11704,33581,3,0,6,0
4591,170,403,401,9531,36730,5,1,14,0
5482,459,409,280,10700,32429,4,5,17,1
6516,314,222,255,10199,40493,1,1,17,1
4568,131,278,311,10806,38722,6,5,27,0
4411,274,381,207,8897,44561,4,3,25,1
5378,338,181,248,10066,43214,2,5,8,1
5726,467,495,215,8239,44039,0,5,15,1
4294,491,394,227,9273,41439,6,4,18,1
6751,190,127,276,9496,45930,0,3,22,0
4511,179,351,366,11059,34519,1,0,4,0
5613,197,385,423,9731,43777,7,2,21,1
6318,260,278,494,8667,45905,5,2,25,1
6910,331,421,205,10040,37780,3,1,17,0
4971,457,318,458,11919,31350,8,2,12,1
4598,361,330,218,8637,37410,6,0,20,0
4845,287,110,423,11377,45195,5,3,15,0
6450,353,351,276,10948,36070,6,4,9,1
5763,277,428,347,11470,35652,3,5,15,0
4684,452,376,179,11653,33858,8,4,14,1
4281,168,495,467,11188,37168,7,3,3,0
6013,499,471,383,9070,43468,5,0,24,0
6057,159,154,116,9003,42134,7,4,16,1
4713,407,342,319,9559,42107,4,0,19,1
4520,118,340,188,8926,46588,8,0,7,0
4039,361,120,454,8293,35750,1,3,11,1
4696,193,193,489,10785,46821,0,4,5,0
6810,446,170,202,10891,45231,4,4,28,0
4329,107,464,269,11326,34905,0,3,22,0
6621,441,220,493,11984,44877,1,3,28,0
6381,401,364,265,9279,35515,4,1,23,0
4805,207,160,221,11726,46769,6,3,8,0
6484,315,103,370,11080,41154,7,4,30,0
6911,302,103,325,9352,36885,7,0,8,1
4080,157,215,298,9417,40349,8,1,3,1
4306,243,409,498,11110,43099,1,0,9,0
6990,161,222,128,8380,32841,2,1,2,0
6917,162,201,240,11184,31760,8,4,8,0
5128,448,234,445,9158,44244,6,1,15,1
5752,412,168,166,9414,41378,7,0,25,0
5174,165,383,362,9602,44827,7,4,19,0
4717,298,317,181,8943,42984,3,4,24,1
5341,179,250,287,9680,46946,7,0,26,0
6855,417,182,436,8646,40395,7,4,19,1
6552,420,453,265,11957,34834,7,0,20,1
6936,300,398,468,9412,44733,8,1,25,1
4517,283,128,426,10766,35452,6,2,19,0
5640,101,350,467,11723,37853,2,3,19,0
6598,456,310,494,11827,33380,4,0,9,0
5800,335,359,413,8743,45577,8,4,20,0
6368,389,459,164,9118,45917,2,5,3,1
6069,394,159,162,9285,34861,8,1,12,0
4351,457,170,212,9815,45994,7,1,21,1
5313,396,153,262,9541,38565,1,4,2,0
4875,412,403,391,11561,31735,6,2,14,1
4470,493,314,175,10701,34330,2,4,28,1
6903,252,202,408,11798,39969,6,2,13,1
5473,199,240,100,8720,43784,2,1,22,1
4214,474,198,217,8490,33164,4,1,24,0
5385,288,166,346,11569,40023,8,1,23,1
6946,462,447,273,10232,41362,8,2,29,1
6769,306,473,479,10237,33240,5,2,8,0
6731,279,369,389,11245,37552,5,1,8,1
6512,173,382,316,11857,34364,2,5,16,0
